pairID,predicted_label
2677109430.jpg#1r1n,0
2677109430.jpg#1r1e,2
2677109430.jpg#1r1c,0
6160193920.jpg#4r1n,1
6160193920.jpg#4r1e,1
6160193920.jpg#4r1c,0
4791890474.jpg#3r1e,2
4791890474.jpg#3r1n,1
4791890474.jpg#3r1c,0
6526219567.jpg#4r1n,1
6526219567.jpg#4r1e,2
6526219567.jpg#4r1c,1
2832076014.jpg#2r1n,1
2832076014.jpg#2r1e,2
2832076014.jpg#2r1c,0
1034985636.jpg#3r1c,0
1034985636.jpg#3r1e,2
1034985636.jpg#3r1n,1
3856149623.jpg#1r1e,2
3856149623.jpg#1r1c,0
3856149623.jpg#1r1n,2
3827316480.jpg#0r1c,0
3827316480.jpg#0r1e,2
3827316480.jpg#0r1n,1
2946464027.jpg#0r1n,1
2946464027.jpg#0r1c,0
2946464027.jpg#0r1e,2
3572548523.jpg#4r1e,2
3572548523.jpg#4r1n,1
3572548523.jpg#4r1c,0
4460943467.jpg#0r1c,0
4460943467.jpg#0r1n,2
4460943467.jpg#0r1e,2
2096485764.jpg#0r1e,2
2096485764.jpg#0r1n,1
2096485764.jpg#0r1c,0
4679111230.jpg#2r1n,0
4679111230.jpg#2r1e,2
4679111230.jpg#2r1c,0
2892843393.jpg#1r1e,2
2892843393.jpg#1r1n,1
2892843393.jpg#1r1c,0
4923271886.jpg#2r1c,0
4923271886.jpg#2r1e,1
4923271886.jpg#2r1n,1
2972268289.jpg#4r1n,1
2972268289.jpg#4r1c,1
4770171876.jpg#0r1e,2
4770171876.jpg#0r1n,1
4770171876.jpg#0r1c,0
351765604.jpg#0r1n,1
351765604.jpg#0r1e,2
351765604.jpg#0r1c,0
847782643.jpg#0r1n,0
847782643.jpg#0r1c,0
847782643.jpg#0r1e,2
3020218156.jpg#2r1e,2
3020218156.jpg#2r1c,0
3020218156.jpg#2r1n,1
3036382555.jpg#0r1e,2
3036382555.jpg#0r1c,0
3036382555.jpg#0r1n,1
407008823.jpg#3r1n,0
407008823.jpg#3r1e,2
407008823.jpg#3r1c,0
3364026240.jpg#3r1e,2
3364026240.jpg#3r1n,2
3364026240.jpg#3r1c,0
3437522515.jpg#3r1c,0
3437522515.jpg#3r1n,1
3437522515.jpg#3r1e,2
2936881937.jpg#4r1c,0
2936881937.jpg#4r1e,2
2936881937.jpg#4r1n,1
2936881937.jpg#2r1c,0
2936881937.jpg#2r1e,2
2936881937.jpg#2r1n,1
2936881937.jpg#0r1n,2
2936881937.jpg#0r1e,2
2936881937.jpg#0r1c,0
4499295511.jpg#0r1n,0
4499295511.jpg#0r1c,0
4499295511.jpg#0r1e,2
2876232980.jpg#0r1e,2
2876232980.jpg#0r1c,0
2876232980.jpg#0r1n,1
2508019949.jpg#0r1c,0
2508019949.jpg#0r1n,1
2508019949.jpg#0r1e,2
3338217927.jpg#2r1n,1
3338217927.jpg#2r1c,0
3338217927.jpg#2r1e,2
264460711.jpg#2r1n,1
264460711.jpg#2r1e,2
264460711.jpg#2r1c,0
6082587848.jpg#1r1c,0
6082587848.jpg#1r1e,2
6082587848.jpg#1r1n,1
6082587848.jpg#3r1n,1
6082587848.jpg#3r1e,2
6082587848.jpg#3r1c,0
6979303317.jpg#0r1n,1
6979303317.jpg#0r1e,2
6979303317.jpg#0r1c,0
4114589329.jpg#0r1e,2
4114589329.jpg#0r1n,2
4114589329.jpg#2r1e,2
4114589329.jpg#2r1c,0
4114589329.jpg#2r1n,1
2147876139.jpg#4r1n,2
2147876139.jpg#4r1e,2
2147876139.jpg#4r1c,1
2622986361.jpg#2r1n,1
2622986361.jpg#2r1e,0
2622986361.jpg#2r1c,0
4963234016.jpg#4r1n,1
4963234016.jpg#4r1e,2
4963234016.jpg#4r1c,0
3661659196.jpg#3r1c,0
3661659196.jpg#3r1e,2
3661659196.jpg#3r1n,1
4926115712.jpg#1r1n,1
4926115712.jpg#1r1c,0
4512171349.jpg#2r1n,1
4512171349.jpg#2r1e,2
4512171349.jpg#2r1c,0
4512171349.jpg#1r1n,1
4512171349.jpg#1r1e,2
4512171349.jpg#1r1c,0
4801146545.jpg#2r1c,0
4801146545.jpg#2r1n,1
4801146545.jpg#2r1e,2
7591663030.jpg#4r1n,1
7591663030.jpg#4r1e,2
7591663030.jpg#4r1c,1
5389902618.jpg#2r1e,2
5389902618.jpg#2r1c,0
5389902618.jpg#2r1n,1
7249180494.jpg#0r1e,2
7249180494.jpg#0r1c,0
7249180494.jpg#0r1n,1
7249180494.jpg#1r1n,1
7249180494.jpg#1r1e,2
7249180494.jpg#1r1c,0
4234824441.jpg#2r1n,1
4234824441.jpg#2r1c,0
4234824441.jpg#2r1e,2
1680409989.jpg#0r1n,1
1680409989.jpg#0r1e,0
1680409989.jpg#0r1c,0
1680409989.jpg#3r1e,2
1680409989.jpg#3r1n,1
1680409989.jpg#3r1c,0
4581834644.jpg#1r1c,0
4581834644.jpg#1r1n,1
4581834644.jpg#1r1e,2
4684641618.jpg#0r1n,1
4684641618.jpg#0r1c,0
4684641618.jpg#0r1e,2
525338588.jpg#0r1n,1
525338588.jpg#0r1e,0
525338588.jpg#0r1c,0
2487069642.jpg#1r1e,2
2487069642.jpg#1r1n,1
2487069642.jpg#1r1c,0
1384292980.jpg#1r1e,2
1384292980.jpg#1r1c,0
1384292980.jpg#1r1n,1
216172386.jpg#0r1c,0
216172386.jpg#0r1e,2
216172386.jpg#0r1n,2
2245918465.jpg#1r1e,2
2245918465.jpg#1r1c,0
2245918465.jpg#1r1n,1
2289096282.jpg#1r1e,2
2289096282.jpg#1r1c,0
2289096282.jpg#1r1n,1
3167503189.jpg#2r1n,1
3167503189.jpg#2r1c,0
3167503189.jpg#2r1e,2
7523563426.jpg#0r1c,1
7523563426.jpg#0r1e,2
7523563426.jpg#0r1n,1
3626642428.jpg#3r1n,2
3626642428.jpg#3r1e,2
3626642428.jpg#3r1c,0
4859630545.jpg#1r1c,1
4859630545.jpg#1r1n,1
4859630545.jpg#1r1e,2
288351324.jpg#4r1e,2
288351324.jpg#4r1n,1
288351324.jpg#4r1c,0
2398915100.jpg#3r1e,2
2398915100.jpg#3r1n,1
2398915100.jpg#3r1c,0
4361879526.jpg#4r1e,2
4361879526.jpg#4r1c,0
4361879526.jpg#4r1n,1
3335501468.jpg#2r1c,0
3335501468.jpg#2r1n,1
4928783075.jpg#1r1e,1
4928783075.jpg#1r1n,1
4928783075.jpg#1r1c,0
4846892973.jpg#0r1n,1
4846892973.jpg#0r1e,2
4846892973.jpg#0r1c,0
4923472130.jpg#2r1e,2
4923472130.jpg#2r1n,1
4923472130.jpg#2r1c,0
2348557363.jpg#4r1c,0
2348557363.jpg#4r1e,2
2348557363.jpg#4r1n,2
3439382048.jpg#3r1c,0
3439382048.jpg#3r1e,2
3439382048.jpg#3r1n,1
1354318519.jpg#1r1e,2
1354318519.jpg#1r1n,0
1354318519.jpg#1r1c,0
484443289.jpg#1r1e,2
484443289.jpg#1r1c,0
484443289.jpg#1r1n,1
484443289.jpg#0r1n,1
484443289.jpg#0r1e,2
484443289.jpg#0r1c,0
3544654074.jpg#2r1n,2
3544654074.jpg#2r1e,2
3544654074.jpg#2r1c,0
4796753895.jpg#1r1c,0
4796753895.jpg#1r1e,2
4796753895.jpg#1r1n,2
4479330885.jpg#3r1e,2
4479330885.jpg#3r1c,0
4479330885.jpg#3r1n,1
3419238351.jpg#0r1n,1
3419238351.jpg#0r1e,2
3419238351.jpg#0r1c,1
4715587253.jpg#3r1e,2
4715587253.jpg#3r1c,0
4715587253.jpg#3r1n,1
3126681108.jpg#1r1c,0
3126681108.jpg#1r1n,1
3126681108.jpg#1r1e,2
2770821714.jpg#2r1n,1
2770821714.jpg#2r1e,2
2770821714.jpg#2r1c,0
535179217.jpg#1r1e,2
535179217.jpg#1r1n,1
535179217.jpg#1r1c,0
764507.jpg#3r1n,1
764507.jpg#3r1c,0
764507.jpg#3r1e,2
2286270205.jpg#3r1c,0
2286270205.jpg#3r1e,2
2286270205.jpg#3r1n,1
4777826385.jpg#0r1n,1
4777826385.jpg#0r1c,0
4777826385.jpg#0r1e,2
3944497603.jpg#2r1c,0
3944497603.jpg#2r1e,2
3944497603.jpg#2r1n,1
2592711202.jpg#3r1n,1
2592711202.jpg#3r1c,1
2592711202.jpg#3r1e,2
6935146937.jpg#1r1n,0
6935146937.jpg#1r1e,2
6935146937.jpg#1r1c,0
6935146937.jpg#0r1c,0
6935146937.jpg#0r1e,2
6935146937.jpg#0r1n,1
4692746525.jpg#1r1e,2
4692746525.jpg#1r1n,1
4692746525.jpg#1r1c,0
2004326408.jpg#0r1e,2
2004326408.jpg#0r1n,1
2004326408.jpg#0r1c,0
5479743540.jpg#4r1e,2
5479743540.jpg#4r1c,0
5479743540.jpg#4r1n,1
5479743540.jpg#0r1n,1
5479743540.jpg#0r1c,1
5479743540.jpg#0r1e,2
2045127186.jpg#1r1n,1
2045127186.jpg#1r1c,0
2045127186.jpg#1r1e,2
2074244690.jpg#2r1c,0
2074244690.jpg#2r1e,2
2074244690.jpg#2r1n,1
273248777.jpg#0r1n,2
273248777.jpg#0r1e,2
273248777.jpg#0r1c,0
862177617.jpg#0r1n,1
862177617.jpg#0r1c,0
862177617.jpg#0r1e,2
7165193566.jpg#4r1c,0
7165193566.jpg#4r1n,1
7165193566.jpg#4r1e,2
4705094483.jpg#0r1n,1
4705094483.jpg#0r1c,0
4705094483.jpg#0r1e,2
24053752.jpg#0r1c,0
24053752.jpg#0r1n,0
24053752.jpg#0r1e,2
4733474874.jpg#0r1n,1
4733474874.jpg#0r1c,0
4733474874.jpg#0r1e,2
2464311348.jpg#4r1n,1
2464311348.jpg#4r1e,2
2464311348.jpg#4r1c,0
424047148.jpg#0r1n,1
424047148.jpg#0r1e,2
424047148.jpg#0r1c,0
15641879.jpg#3r1c,0
15641879.jpg#3r1n,1
15641879.jpg#3r1e,2
4678920190.jpg#3r1c,0
4678920190.jpg#3r1e,2
4678920190.jpg#3r1n,0
290650302.jpg#0r1e,2
290650302.jpg#0r1n,1
290650302.jpg#0r1c,0
4489833894.jpg#4r1n,1
4489833894.jpg#4r1e,2
4489833894.jpg#4r1c,0
3316725440.jpg#4r1e,2
3316725440.jpg#4r1n,1
3316725440.jpg#4r1c,1
664470170.jpg#0r1e,2
664470170.jpg#0r1c,0
664470170.jpg#0r1n,1
350630236.jpg#0r1n,1
350630236.jpg#0r1c,0
350630236.jpg#0r1e,2
2737097000.jpg#1r1n,1
2737097000.jpg#1r1e,2
2737097000.jpg#1r1c,0
6338544926.jpg#0r1n,1
6338544926.jpg#0r1c,0
6338544926.jpg#0r1e,2
6338544926.jpg#1r1n,1
6338544926.jpg#1r1c,0
6338544926.jpg#1r1e,2
76607426.jpg#4r1n,1
76607426.jpg#4r1e,2
76607426.jpg#4r1c,0
3199460792.jpg#1r1n,1
3199460792.jpg#1r1c,0
3199460792.jpg#1r1e,2
4774884519.jpg#0r1n,1
4774884519.jpg#0r1c,0
4774884519.jpg#0r1e,2
2483666380.jpg#2r1n,1
2483666380.jpg#2r1e,2
2483666380.jpg#2r1c,0
1457898867.jpg#4r1n,1
1457898867.jpg#4r1e,2
1457898867.jpg#4r1c,0
3653497668.jpg#4r1n,2
3653497668.jpg#4r1c,0
3653497668.jpg#4r1e,2
2280438093.jpg#1r1e,2
2280438093.jpg#1r1c,0
2280438093.jpg#1r1n,2
5400154.jpg#3r1c,0
5400154.jpg#3r1n,1
5400154.jpg#3r1e,2
4702657446.jpg#0r1e,2
4702657446.jpg#0r1c,0
1333888922.jpg#1r1c,0
1333888922.jpg#1r1e,2
1333888922.jpg#1r1n,1
2652382453.jpg#2r1e,2
2652382453.jpg#2r1c,1
2652382453.jpg#2r1n,1
272471327.jpg#0r1e,2
272471327.jpg#0r1n,1
272471327.jpg#0r1c,0
2425411995.jpg#2r1e,2
2425411995.jpg#2r1n,1
2425411995.jpg#2r1c,0
7700080224.jpg#4r1n,1
7700080224.jpg#4r1c,2
7700080224.jpg#4r1e,2
7700080224.jpg#0r1e,2
7700080224.jpg#0r1n,1
7700080224.jpg#0r1c,0
4914029409.jpg#0r1n,1
4914029409.jpg#0r1c,0
4914029409.jpg#0r1e,2
4914029409.jpg#1r1n,2
4914029409.jpg#1r1c,1
4914029409.jpg#1r1e,2
3091754891.jpg#4r1e,2
3091754891.jpg#4r1c,0
3091754891.jpg#4r1n,2
2749755023.jpg#4r1e,2
2749755023.jpg#4r1n,1
2749755023.jpg#4r1c,0
7113652429.jpg#0r1n,1
7113652429.jpg#0r1c,0
7113652429.jpg#0r1e,2
4000148666.jpg#0r1c,0
4000148666.jpg#0r1n,1
4000148666.jpg#0r1e,2
4886223475.jpg#0r1n,1
4886223475.jpg#0r1c,0
4886223475.jpg#0r1e,2
3831031977.jpg#4r1e,2
3831031977.jpg#4r1n,1
3831031977.jpg#4r1c,0
2737409349.jpg#0r1c,0
2737409349.jpg#0r1n,2
2737409349.jpg#0r1e,2
